Files already downloaded and verified
Files already downloaded and verified
Using cache found in /home/xi/.cache/torch/hub/facebookresearch_dino_main
/home/xi/miniconda3/envs/torch_env/lib/python3.10/site-packages/torch/cuda/__init__.py:716: UserWarning: Can't initialize NVML
  warnings.warn("Can't initialize NVML")

>> Running: Nc=1, J=4
Round [134/200] | LR: 0.00001 | Tr Loss: 4.2398 | Te Loss: 4.7477 | Te Acc: 3.20% | Best: 16.97%
Round [135/200] | LR: 0.00001 | Tr Loss: 4.4800 | Te Loss: 4.6816 | Te Acc: 3.52% | Best: 16.97%
Round [136/200] | LR: 0.00001 | Tr Loss: 4.2914 | Te Loss: 4.6792 | Te Acc: 3.19% | Best: 16.97%
Round [137/200] | LR: 0.00001 | Tr Loss: 3.7968 | Te Loss: 4.6922 | Te Acc: 3.27% | Best: 16.97%
Round [138/200] | LR: 0.00001 | Tr Loss: 4.1218 | Te Loss: 4.6511 | Te Acc: 3.22% | Best: 16.97%
Round [139/200] | LR: 0.00001 | Tr Loss: 4.2448 | Te Loss: 4.6316 | Te Acc: 3.07% | Best: 16.97%
Round [140/200] | LR: 0.00001 | Tr Loss: 4.1643 | Te Loss: 4.6237 | Te Acc: 3.13% | Best: 16.97%
Round [141/200] | LR: 0.00001 | Tr Loss: 4.2249 | Te Loss: 4.6089 | Te Acc: 3.18% | Best: 16.97%
Round [142/200] | LR: 0.00001 | Tr Loss: 4.1008 | Te Loss: 4.6206 | Te Acc: 3.26% | Best: 16.97%
Round [143/200] | LR: 0.00001 | Tr Loss: 4.1299 | Te Loss: 4.6109 | Te Acc: 2.98% | Best: 16.97%
Round [144/200] | LR: 0.00001 | Tr Loss: 4.1642 | Te Loss: 4.5880 | Te Acc: 3.03% | Best: 16.97%
Round [145/200] | LR: 0.00001 | Tr Loss: 4.1373 | Te Loss: 4.5880 | Te Acc: 3.00% | Best: 16.97%
Round [146/200] | LR: 0.00001 | Tr Loss: 4.0401 | Te Loss: 4.5989 | Te Acc: 3.25% | Best: 16.97%
Round [147/200] | LR: 0.00001 | Tr Loss: 4.2306 | Te Loss: 4.6176 | Te Acc: 2.76% | Best: 16.97%
Round [148/200] | LR: 0.00001 | Tr Loss: 3.9855 | Te Loss: 4.5966 | Te Acc: 2.73% | Best: 16.97%
Round [149/200] | LR: 0.00001 | Tr Loss: 3.7612 | Te Loss: 4.6047 | Te Acc: 2.96% | Best: 16.97%
Round [150/200] | LR: 0.00001 | Tr Loss: 4.0352 | Te Loss: 4.6484 | Te Acc: 2.83% | Best: 16.97%
Round [151/200] | LR: 0.00001 | Tr Loss: 4.2724 | Te Loss: 4.5891 | Te Acc: 3.02% | Best: 16.97%
Round [152/200] | LR: 0.00001 | Tr Loss: 4.0819 | Te Loss: 4.6114 | Te Acc: 3.61% | Best: 16.97%
Round [153/200] | LR: 0.00001 | Tr Loss: 4.1704 | Te Loss: 4.6310 | Te Acc: 3.89% | Best: 16.97%
Round [154/200] | LR: 0.00001 | Tr Loss: 3.9953 | Te Loss: 4.6140 | Te Acc: 3.31% | Best: 16.97%
Round [155/200] | LR: 0.00001 | Tr Loss: 3.9492 | Te Loss: 4.6372 | Te Acc: 3.49% | Best: 16.97%
Round [156/200] | LR: 0.00001 | Tr Loss: 4.0571 | Te Loss: 4.7123 | Te Acc: 3.11% | Best: 16.97%
Round [157/200] | LR: 0.00001 | Tr Loss: 4.1039 | Te Loss: 4.6608 | Te Acc: 3.07% | Best: 16.97%
Round [158/200] | LR: 0.00001 | Tr Loss: 4.0878 | Te Loss: 4.6616 | Te Acc: 3.02% | Best: 16.97%
