Files already downloaded and verified
Files already downloaded and verified
Using cache found in /home/xi/.cache/torch/hub/facebookresearch_dino_main
/home/xi/miniconda3/envs/torch_env/lib/python3.10/site-packages/torch/cuda/__init__.py:716: UserWarning: Can't initialize NVML
  warnings.warn("Can't initialize NVML")

>> Running: Nc=1, J=4
Round [092/200] | LR: 0.00100 | Tr Loss: 1.9727 | Te Loss: 5.6893 | Te Acc: 1.41% | Best: 17.12%
Round [093/200] | LR: 0.00100 | Tr Loss: 2.1235 | Te Loss: 5.5469 | Te Acc: 0.89% | Best: 17.12%
Round [094/200] | LR: 0.00100 | Tr Loss: 2.0505 | Te Loss: 7.1913 | Te Acc: 1.41% | Best: 17.12%
Round [095/200] | LR: 0.00100 | Tr Loss: 2.4535 | Te Loss: 6.2498 | Te Acc: 1.22% | Best: 17.12%
Round [096/200] | LR: 0.00100 | Tr Loss: 2.1801 | Te Loss: 5.4299 | Te Acc: 1.67% | Best: 17.12%
Round [097/200] | LR: 0.00100 | Tr Loss: 1.7951 | Te Loss: 5.4567 | Te Acc: 1.50% | Best: 17.12%
Round [098/200] | LR: 0.00100 | Tr Loss: 1.8702 | Te Loss: 5.3905 | Te Acc: 1.73% | Best: 17.12%
Round [099/200] | LR: 0.00100 | Tr Loss: 2.0006 | Te Loss: 5.1298 | Te Acc: 1.35% | Best: 17.12%
Round [100/200] | LR: 0.00100 | Tr Loss: 1.6203 | Te Loss: 5.3295 | Te Acc: 1.62% | Best: 17.12%
Round [101/200] | LR: 0.00100 | Tr Loss: 1.7677 | Te Loss: 5.5403 | Te Acc: 1.43% | Best: 17.12%
Round [102/200] | LR: 0.00100 | Tr Loss: 1.7798 | Te Loss: 5.8532 | Te Acc: 1.68% | Best: 17.12%
Round [103/200] | LR: 0.00100 | Tr Loss: 2.0741 | Te Loss: 5.1584 | Te Acc: 1.54% | Best: 17.12%
Round [104/200] | LR: 0.00100 | Tr Loss: 1.6884 | Te Loss: 5.3895 | Te Acc: 1.69% | Best: 17.12%
Round [105/200] | LR: 0.00100 | Tr Loss: 1.6991 | Te Loss: 5.5140 | Te Acc: 1.08% | Best: 17.12%
Round [106/200] | LR: 0.00100 | Tr Loss: 1.6474 | Te Loss: 5.5124 | Te Acc: 1.25% | Best: 17.12%
Round [107/200] | LR: 0.00100 | Tr Loss: 2.0169 | Te Loss: 5.4473 | Te Acc: 2.00% | Best: 17.12%
Round [108/200] | LR: 0.00100 | Tr Loss: 1.9835 | Te Loss: 5.4350 | Te Acc: 1.19% | Best: 17.12%
Round [109/200] | LR: 0.00100 | Tr Loss: 1.6477 | Te Loss: 5.4058 | Te Acc: 1.33% | Best: 17.12%
Round [110/200] | LR: 0.00100 | Tr Loss: 1.6840 | Te Loss: 5.2845 | Te Acc: 1.83% | Best: 17.12%
Round [111/200] | LR: 0.00100 | Tr Loss: 1.7712 | Te Loss: 5.2606 | Te Acc: 1.20% | Best: 17.12%
Round [112/200] | LR: 0.00100 | Tr Loss: 1.6810 | Te Loss: 5.2899 | Te Acc: 1.26% | Best: 17.12%
Round [113/200] | LR: 0.00100 | Tr Loss: 1.9974 | Te Loss: 5.3305 | Te Acc: 0.87% | Best: 17.12%
Round [114/200] | LR: 0.00100 | Tr Loss: 1.7540 | Te Loss: 5.1824 | Te Acc: 1.48% | Best: 17.12%
Round [115/200] | LR: 0.00100 | Tr Loss: 1.7280 | Te Loss: 5.1764 | Te Acc: 2.33% | Best: 17.12%
Round [116/200] | LR: 0.00100 | Tr Loss: 1.4578 | Te Loss: 5.5263 | Te Acc: 1.90% | Best: 17.12%
Round [117/200] | LR: 0.00100 | Tr Loss: 1.7666 | Te Loss: 5.4941 | Te Acc: 2.63% | Best: 17.12%
Round [118/200] | LR: 0.00100 | Tr Loss: 1.7060 | Te Loss: 5.3472 | Te Acc: 2.04% | Best: 17.12%
Round [119/200] | LR: 0.00100 | Tr Loss: 1.5446 | Te Loss: 5.5299 | Te Acc: 1.13% | Best: 17.12%
Round [120/200] | LR: 0.00100 | Tr Loss: 1.7110 | Te Loss: 5.2162 | Te Acc: 1.73% | Best: 17.12%
Round [121/200] | LR: 0.00010 | Tr Loss: 4.1172 | Te Loss: 5.0411 | Te Acc: 1.87% | Best: 17.12%
Round [122/200] | LR: 0.00010 | Tr Loss: 4.0391 | Te Loss: 4.9461 | Te Acc: 1.99% | Best: 17.12%
Round [123/200] | LR: 0.00010 | Tr Loss: 4.2736 | Te Loss: 4.8714 | Te Acc: 1.71% | Best: 17.12%
Round [124/200] | LR: 0.00010 | Tr Loss: 4.0289 | Te Loss: 4.7996 | Te Acc: 1.82% | Best: 17.12%
Round [125/200] | LR: 0.00010 | Tr Loss: 3.4781 | Te Loss: 4.7884 | Te Acc: 1.64% | Best: 17.12%
Round [126/200] | LR: 0.00010 | Tr Loss: 3.7080 | Te Loss: 4.7477 | Te Acc: 2.19% | Best: 17.12%
Round [127/200] | LR: 0.00010 | Tr Loss: 3.7619 | Te Loss: 4.7235 | Te Acc: 2.09% | Best: 17.12%
Round [128/200] | LR: 0.00010 | Tr Loss: 3.4400 | Te Loss: 4.7342 | Te Acc: 1.91% | Best: 17.12%
Round [129/200] | LR: 0.00010 | Tr Loss: 3.4829 | Te Loss: 4.7214 | Te Acc: 1.98% | Best: 17.12%
Round [130/200] | LR: 0.00010 | Tr Loss: 3.7580 | Te Loss: 4.6789 | Te Acc: 2.08% | Best: 17.12%
Round [131/200] | LR: 0.00010 | Tr Loss: 3.7671 | Te Loss: 4.6594 | Te Acc: 2.06% | Best: 17.12%
Round [132/200] | LR: 0.00010 | Tr Loss: 3.1440 | Te Loss: 4.6610 | Te Acc: 2.38% | Best: 17.12%
Round [133/200] | LR: 0.00010 | Tr Loss: 3.6965 | Te Loss: 4.6285 | Te Acc: 2.59% | Best: 17.12%
Round [134/200] | LR: 0.00010 | Tr Loss: 3.4385 | Te Loss: 4.6268 | Te Acc: 2.23% | Best: 17.12%
Round [135/200] | LR: 0.00010 | Tr Loss: 3.6485 | Te Loss: 4.6104 | Te Acc: 2.73% | Best: 17.12%
Round [136/200] | LR: 0.00010 | Tr Loss: 3.5082 | Te Loss: 4.6286 | Te Acc: 2.06% | Best: 17.12%
Round [137/200] | LR: 0.00010 | Tr Loss: 3.5433 | Te Loss: 4.6166 | Te Acc: 2.05% | Best: 17.12%
Round [138/200] | LR: 0.00010 | Tr Loss: 3.3154 | Te Loss: 4.6305 | Te Acc: 1.83% | Best: 17.12%
Round [139/200] | LR: 0.00010 | Tr Loss: 3.3228 | Te Loss: 4.6436 | Te Acc: 1.93% | Best: 17.12%
Round [140/200] | LR: 0.00010 | Tr Loss: 3.2629 | Te Loss: 4.6555 | Te Acc: 1.57% | Best: 17.12%
